alumno,espanol,matematicas
4605,"COMENTA ALGUNAS LEYENDAS QUE PLATICAN EN FAMILIA, COMPARTE QUE PARTE LE GUSTO M·S Y POR QUÈ, ESCRIBE UNA CARTA CON LETRA CLARA, EXPONE CON CLARIDAD LO QUE ES UNA RIMA, ESCRIBE PALABRAS QUE RIMAN Y LAS MENCIONA, FORMA EL NOMBRE CON EL ABECEDARIO MOVIL","REALIZA UN CONTEO ORAL ESTABLE MENCIONANDO LA CANTIDAD DE ELEMENTOS QUE SE LE INDICAN, CONOCE ALGUNOS OBJETOS QUE TIENEN FORMA DE FIGURA GEOMÈTRICA CUADRADO, CIRCULO, TRIANGULO, CORAZÛN, RECT·NGULO ETC. CONSTRUYE CASAS O EDIFICIOS CON ALGUNAS FIGURAS"
4606,"MENCIONA DIVERSOS ANIMALES EN ESPA—OL Y N¡HUATL.INVENTA HISTORIA.REALIZA PEQUE—OS MENSAJES E INSTRUCTIVO PARA RECETA DESCRIBIENDO MATERIALES Y PROCEDIMIENTO. DA SU CONCEPTO DE LEYENDA, CHISTES, RETAHÕLA.REGISTRA Y DESCRIBE JUGUETE FAVORITO. ",REALIZA MEDIDAS DE CAPACIDADES REGISTRANDO RESULTADOS EXPLICA LO QUE ES UN CROQUIS Y LO REALIZA RECONOCE Y MENCIONA EL USO QUE DA A LAS MONEDAS.SIGUE INDICACIONES ESPACIALES PARA LOCALIZAR OBJETOS. RESUELVE PEQUE—OS PROBLEMAS MENTALMENTE. 
4607,A TRAVÈS DE CUESTIONAMIENTOS LOGRA DESCRIBIR O MENCIONAR ALGUNAS CARACTERÌSTICAS DE OBJETOS Y PERSONAS QUE CONOCE Y OBSERVA A SU ALREDEDOR.,MEDIANTE DISTINTAS ACTIVIDADES REALIZA EL CONTEO DE OBJETOS QUE SE LE MUESTRAN Y MENCIONA LA CANTIDAD CORRECTA HASTA 10 ELEMENTOS.
4608,"ES CAPAZ DE CONTAR CHISTES Y OTROS JUEGOS DEL LENGUAJE QUE MEMORIZA, EN OCASIONES REQUIERE DE APOYO CON ALGUNA PALABRA CLAVE. SE ENCUENTRA EN PROCESO DE LOGRAR CAMBIAR EL ORDEN O LOS SUCESOS DE HISTORIAS QUE CONOCE. ","USA MONEDAS DE $1 PESO EN JUEGOS DE COMPRA Y VENTA, Y LOGRA RECONOCER LA CANTIDAD DE MONEDAS QUE DEBE USAR PARA COMPRAR, IDENTIFICA LA FUNCIÛN DE LOS N˙MEROS PARA REGISTRAR CANTIDADES DESPUÈS DE CONTAR "
4609,"NARRA HISTORIAS QUE LE SON FAMILIARES Y MENCIONA LA PARTE FAVORITA DE UN CUENTO, ESCUCHA LEYENDAS TÌPICAS DE MÈXICO Y HABLA SOBRE LO QUE M·S LE GUSTO. INVENTA CUENTOS USANDO DIFERENTES PERSONAJES, OBJETOS Y LUGARES","JUEGA CON UNA ALMOHADA, PARA PONERLA EN DIFERENTES LUGARES.  ORGANIZA LA SECUENCIA ESCRIBIENDO EN ORDEN LOS N˙MEROS DE LAS IM·GENES. CREA ADIVINANZAS JUNTO CON SU FAMILIA PARA RECONOCER OBJETOS CON FORMAS GEOMÈTRICAS. CUENTA COLECCIONES HASTA LLEGAR "
4610,IDENTIFICA Y DESCRIBE LO QUE OBSERVA DE UN OBJETO O SUJETO ABORDANDO CARACTERÌSTICAS PRINCIPALES. PRODUCE TEXTOS CORTOS DE ACUERDO CON SUS POSIBILIDADES DE ESCRITURA. ESCUCHA Y TRATA DE PARTICIPAR EN  ACTIVIDADES DE RECONOCER PALABRAS QUE RIMEN,IMPLEMENTA EL CONTEO ORAL PARA OBTENER UN RESULTADO EN DIVERSAS SITUACIONES. RECONOCE  LOS N˙MEROS POR ESCRITO DEL 1 AL 20 Y LO COMUNICA REPRESENTADO CANTIDADES DE FORMA ESCRITA.  
4611,"EN ACTIVIDADES QUE IMPLICAN LA DESCRIPCIÛN, HACE MENCIÛN DE LAS CARACTERÌSTICAS GENERALES, PERO NO DE LAS PARTICULARIDADES DE LOS OBJETOS Y/O PERSONAS, POR LO QUE REQUIERE DEL APOYO CON PREGUNTAS ORIENTADORAS QUE LE  PERMITAN AMPLIAR SU VOCABULARIO.","LOGRA IDENTIFICAR A TRAVÈS DEL CONTEO LA CANTIDAD DE ELEMENTOS EN COLECCIONES NO MAYORES A 15, HACIENDO USO DE LOS PRINCIPIOS DEL CONTEO, RESUELVE PROBLEMAS SENCILLOS DE AGREGAR Y QUITAR OBJETOS, MENCIONA QUE FUE LO QUE HIZO PARA LOGRARLO."
4612,"ESCUCHA CON ATENTAMENTE LO QUE SE LE INDICA Y LOGRA RESPONDER CON SUS PROPIAS IDEAS, NARRA HISTORIAS QUE LE SON FAMILIAR, HABLA ACERCA DE LOS PERSONAJES Y SUS CARACTERÌSTICAS.","RESUELVE PROBLEMAS A TRAVÈS DEL CONTEO Y CON ACCIONES SOBRE LAS COLECCIONES, CONTESTA PREGUNTAS EN LAS QUE NECESITA RECABAR DATOS; LAS ORGANIZA A TRAVÈS DE TABLAS."
4613,COMENTA Y EXPLICA SU OPINIÛN DE NOTICIAS QUE ESCUCHA A SU ALREDEDOR.                                                             PUEDE SEGUIR INSTRUCTIVOS Y EXPLICA COMO PUEDE HACER UNO DE MANERA SENCILLA.                                             ,"RESUELVE PROBLEMAS MATEM·TICOS SENCILLOS EN LOS QUE DEBE DE IR AGREGANDO ELEMENTOS O AL JUGAR CON EL DADO AGREGAR PUNTOS.                                                  IDENTIFICA LOS EVENTOS QUE REALIZO EN SU DÌA Y LOS DICE EN ORDEN.
"
4614,"CONOCE M·S SOBRE LOS INSTRUCTIVOS, EXPERIMENTA SABERES Y LOS INTERPRETA REALIZANDO RECETAS DIVERTIDAS. JUEGA CON EL LENGUAJE A TRAVES DE LAS RIMAS, ADIVINANZAS Y TRABALENGUAS SENCILLOS. ESCRIBE SU NOMBRE Y CONOCE EL SONIDO DE ALGUNAS LETRAS.",IDENTIFICA LOS N˙MEROS DEL 1 AL 25 O M·S PARA PODER RESOLVER PROBLEMAS A TRAVÈS DEL CONTEO.  RELACIONA EL NUMERO ESCRITO CON LA CANTIDAD DE ELEMNTOS DE UNA COLECCIÛN. SIGUE PATRONES DE ACUERDO A SU FORMA Y COLOR.
4615,"COMENTA TEXTOS LITERARIOS QUE ESCUCHA, DESCRIBE PERSONAJES Y LUGARES QUE IMAGINA.
NARRA HISTORIAS FAMILIARES DE INVENCIÛN PROPIA Y OPINA SOBRE LAS CREACIONES DE OTROS.
 ESCRIBE CON SUS COMPAÒEROS DE GRUPO NARRACIONES QUE DICTA A LA EDUCADORA. 
","  IDENTIFICA ALGUNAS RELACIONES DE EQUIVALENCIA ENTRE MONEDAS DE $1, $2, $5 Y $10 EN SITUACIONES DE COMPRA Y VENTA. 
RESUELVE PROBLEMAS A TRAVÈS DEL CONTEO Y CON ACCIONES SOBRE LAS COLECCIONES.
"
4616,"TOMA CONCIENCIA DE SUS EMOCIONES Y EFECTOS DE LA EXPERIENCIA; DE LO QUE APRENDE Y DE SUS NUEVAS HABILIDADES
 CUENTA HISTORIAS DE INVENCIÛN PROPIA Y EXPRESA OPINIONES.
","SABE QUE LAS MONEDAS TIENEN UN VALOR.DICE DE MANERA ORAL Y ESCRITA LOS N˙MEROS DEL 1 AL 10 EN DIVERSAS SITUACIONES Y DE DIFERENTES MANERAS, INCLUIDA LA CONVENCIONAL. RESUELVE PROBLEMAS A TRAVÈS DE CONTEO Y CON ACCIONES SOBRE LAS COLECCIO"
4617,MEMORIZA POEMA Y LO INTERPRETA CON OTRAS PERSONAS. CONSTRUYE RIMAS CON AYUDA DE UN ADULTO. ESCRIBE SU NOMBRE E IDENTIFICA OTROS COMO EL DE LOS INTEGRANTES DE SU FAMILIA. ,"IDENTIFICA EL VALOR REAL DE LAS MONEDAS Y HACE USO DE ELLAS EN SITUACIONES DE COMPRA Y VENTA. CONTESTA PREGUNTAS PARA APOYARSE Y REGISTRAR DATOS, LOS ORGANIZA EN TABLAS Y EXPLICA CÛMO ORGANIZÛ LA INFORMACIÛN. "
4618,"
EXPRESA SUS IDEAS CON M¡S CLARIDAD Y MAYOR SEGURIDAD.
","
CUENTA DE FORMA ORAL HASTA EL 10."
4619,"RECONOCE LAS PARTES DE UN LIBRO Y LAS NOMBRA,   COMIENZA A LEER PALABRAS CORTAS QUE ENCUENTRA EN LOS LIBROS.","LOGRA DAR SOLUCIÛN A PROBLEMAS QUE SE LE PRESENTAN RELACIONADOS CON LA COMPRA Y EL USO DE MONEDAS O DINERO EN GENERAL, APOY·NDOSE DE MATERIALES CONCRETOS (MONEDAS, BILLETES, PRODUCTOS DEL S˙PER)  "
4620,LOGRA EXPRESAR OPINIONES ACERCA DE TEXTOS QUE SE LEEN EN VOZ ALTA INTERACTUANDO Y MOSTRANDO INTERÈS EN LA LECTURA. PROPONE EL FINAL A LOS CUENTOS QUE LEEN Y QUE SE DEJEN INCONCLUSOS ,"REALIZA CONTEO CON ORDEN ESTABLE HASTA EL 15 O M·S, AL CONTAR EXISTE UNA CORRESPONDENCIA UNO A UNO, SE INICIA LA CARDINALIDAD"
4621,"ES CONSTANTE EN SU TRABAJO, SE ESFUERZA PARA IDENTIFICAR LOS SONIDOS DE LAS CONSONANTES, A⁄N SE ENCUENTRA EN EL TRABAJO CON LECTURA MEC¡NICA. ","REPRESENTA DE MANERA SIMB”LICA Y CONVENCIONAL LOS N⁄MEROS DEL 1 AL 10, POR MEDIO DE DIVERSAS SITUACIONES DE COMUNICACI”N QUE DIFERENCIAN SUS USOS (CARDINAL, ORDINAL Y NOMINATIVO)."
4622,"MENCIONA LOS PERSONAJES DE CUENTOS ,ESCUCHA SU OPINI”N ACERCA DE UN TEMA Y ESCUCHA OTRAS OPINIONES, COMENTA Y CUENTA LEYENDAS,  MENCIONA CARACTERÕSTICAS  DE LUGARES OBJETOS  Y PERSONAS QUE OBS
","DETERMINA LA CANTIDAD DE ELEMENTOS  DE DIFERENTES COLECCIONES AL PARTICIPAR EN JUEGOS ,RECONOCE Y REPRODUCE FORMAS Y FIGURAS ,UTILIZA PUNTOS DE REFERENCIA PARA LOCALIZAR OBJETOS Y COMUNICAR SU UBICACI”N"
4623,"TIENE LA FACILIDAD DE EXPRESAR SUS PREFERENCIAS POR ALGUNOS JUEGOS, JUGUETES Y ACTIVIDADES QUE REALIZA EN CASA Y FUERA DE ELLA. UTILIZA DE FORMA CORRECTA UN INSTRUCTIVO, PUES TIENE CONOCIMIENTO DE LAS CARACTERÌSTICAS DE ESTE Y LO PONE EN PR·CTICA.","RECONOCE QUE, ENTRE M·S ELEMENTOS TIENE UNA COLECCIÛN, AVANZA M·S EN LA SUCESIÛN NUMÈRICA ORAL Y ESCRITA. DETERMINA CANTIDADES AL CONTAR UNO A UNO EN DIFERENTES SITUACIONES DE JUEGO Y EN COLECCIONES.
"
4624,"HACE UN EXCELENTE TRABAJO IDENTIFICANDO DIFERENCIAS EN LAS FORMAS DE HABLAR DE LA GENTE. MUESTRA AVANCE AL DESCRIBIR PERSONAJES Y LUGARES QUE IMAGINA AL ESCUCHAR CUENTOS, LEYENDAS Y OTROS RELATOS. MUESTRA HABILIDAD PARA APRENDER POEMAS.","COMIENZA A IDENTIFICAR ALGUNAS RELACIONES DE EQUIVALENCIA ENTRE MONEDAS DE $1, $2, $5 Y $10 EN SITUACIONES REALES O FICTICIAS DE COMPRA Y VENTA. RECONOCE CON FACILIDAD QUE, ENTRE M·S ELEMENTOS TIENE UNA COLECCIÛN, AVANZA M·S EN LA SUCESIÛN NUMÈRICA "
4625,COMENTA CON APOYO RESPECTO A LA ADIVINANZA Y LA ESCRITURA CON LAS LETRAS DEL ABECEDARIO ,"ORGANIZA INFORMACION EN UNA TABLA Y RESPONDE PREGUNTAS APOYANDOSE DE LO QUE AHÕ OBSERVA, INTENTA USAR EL LISTON PARA MEDIR, CUENTA OBJETOS Y LO MENCIONA DE FORMA VERBAL MIENTRAS CUENTA"
4626,"USA EL LENGUAJE PARA INTENTAR EXPRESAR SUS IDEAS. OBSERVA ALGUNAS CARACTERÌSTICAS DEL SISTEMA DE ESCRITURA, CONTINUA ESCRIBIENDO SU NOMBRE CON APOYO VISUAL.  ",OBSERVA EN SU ENTORNO FIGURAS GEOMÈTRICAS. REALIZA CONTEO SOBRE COLECCIONES Y COMPARA MAYOR O MENOR CANTIDAD.  
4627,ESCRIBE SU NOMBRE UTILIZANDO SU PROPIAS MARCAS GRAFÌAS. ES CAPAZ DE ESCUCHAR POEMAS Y REPETIRLOS DE MANERA INDIVIDUAL .,"CONOCE QUE LOS N˙MEROS FORMAN PARTE DE NUESTRA VIDA COTIDIANA.IDENTIFICA PUNTOS DE REFERENCIA POR EJEMPLO: ADENTRO, AFUERA, LEJOS CERCA, ARRIBA, ABAJO.SE ENCUENTRA EN EL PROCESO DE IDENTIFICAR FIGURAS GEOMÈTRICAS COMO EL CUADRADO, TRIANGULO,CIRCULO

"
4628,EXPLICA Y EXPRESA SU OPINION SOBRE TEXTOS LEIDOS EN VOZ ALTA POR OTRA PERSONA. CON APOYO EN TRAZO DE LETRAS LOGRA COMPLETAR PALABRAS CORTAS UTILIZANDO LAS VOCALES E IDENTIFICA DIVERSOS PICTOGRAMAS.,"REALIZA CONTEO DEL 1 AL 15, RESUELVE EJERCICIOS DE SUCESOR Y CON APOYO DE DIVERSOS MATERIALES RESUELVE SUMAS EN PEQUEÒAS CANTIDADES. UBICA OBJETOS Y LUGARES A TRAVES DE LA INTERPRETACION DE RELACIONES ESPACIALES."
4629,"SIGUE TRABAJANDO EN RECONOCIMIENTO DE SÌLABAS COMO K, C, Q, PARA OBTENER MAYOR SEGURIDAD EN LOS DICTADOS.","TRABAJA EN LA REALIZACIÛN DE RESTAS Y SUMAS CON REGLETAS, PRACTICAR LA DIRECCIONALIDAD DE N˙MEROS DEL 1 AL 20."
4630,EL REGISTRO DEL ALUMNO FUE AFECTADO POR EL CUMPLIMIENTO DE 22 DE 64 AVIDENCIAS.,EL REGISTRO DEL ALUMNO FUE AFECTADO POR EL CUMPLIMIENTO DE 22 DE 64 AVIDENCIAS.
4631,"  UTILIZA LETRAS CONVENCIONALES PARA ESCRIBIR DE MANERA CONVENCIONAL PALABRAS CORTAS COMO: MAM·, OSO, MANO, ETC. IDENTIFICA LA UTILIDAD DE DIVERSOS TEXTOS COMO REVISTAS, PERIÛDICO Y RECETA. EXPRESA DE MANERA ORAL M·S PRECISAS SUS IDEAS","ORDENA CON FACILIDAD COLECCIONES EN FORMA ASCENDENTE Y DESCENDENTE DE CUALQUIER CANTIDAD DE ELEMENTOS. SE UBICA EN RELACIÛN A OBJETOS USANDO TEMIMOS COMO (CERCA, LEJOS, ARRIBA ABAJO, DENTRO FUERA, ETC..)"
4632,INVENTA HISTORIAS A PARTIR DE ALGUNOS PERSONAJES Y PAISAJES NUEVOS O DE CUENTOS QUE YA CONOCE COORDINANDO CADA VEZ MEJOR SUS IDEAS Y PONIENDO EN PR¡CTICA TODA SU CREATIVIDAD. ESCRIBE SUS 2 NOMBRES DE MANERA CONVENCIONAL.,"ES CAPAZ DE USAR INFORMACI”N PARA TENER UN PUNTO DE PARTIDA, SEGUIR INDICACIONES Y HACER PREGUNTAS PARA LLEGAR HACIA EL PUNTO DESEADO O FINAL DE UN CAMINO. PARTICIPA EN ACTIVIDADES DONDE PONE EN PR¡CTICA EL CONTEO DE  MONEDAS Y SU USO."
4633,"UTILIZA EL LENGUAJE ORAL PARA COMUNICARSE Y RELACIONARSE CON PARES Y  ADULTOS,  INTERPRETA CUENTOS,  PRODUCE TEXTOS MEDIANTE EL DICTADO CON LETRA VINCULADA,  MUESTRA UN TRAZO EXCELENTE Y UBICACIÛN EN SUS EJERCICIOS,  LOGRA UNA LECTURA FLUIDA Y  CLARA","IDENTIFICA,  CUENTA Y TRAZA LOS N˙MEROS CORRECTAMENTE DEL 1 AL 100 EN ORDEN LÛGICO ASCENDENTE, DIBUJA LÌNEAS RECTAS CURVAS Y MIXTAS,  RESUELVE OPERACIONES DE AGREGAR Y QUITAR EN VERTICAL DE UNA Y DOS COLUMNAS."
4634,"RECONOCE EL USO SOCIAL Y FUNCIONAL DEL LENGUAJE ESCRITO, RECONOCE Y ESCRIBE SU NOMBRE, EXPRESA NUEVAS PALABRAS A PARTIR DE LAS LETRAS QUE CONFORMAN SU NOMBRE, IDENTIFICA LAS INTENCIONES COMUNICATIVAS DE UNA VARIEDAD DE TEXTOS COMO INSTRUCTIVOS ETC","RESUELVE PROBLEMAS A TRAVÈS DEL CONTEO DE COLECCIONES; EN EL CONTEO ASIGNA A CADA ELEMENTO DE LA COLECCIÛN UN N˙MERO DE LA SERIE NUMÈRICA, AL FINALIZAR EXPRESA LA CARDINALIDAD DE LA COLECCIÛN.RECONOCE Y EXPRESA ATRIBUTOS DE FIGURAS GEOMÈTRICAS."
4635,"EXPLICA LAS RAZONES POR LAS QUE ELIGE UN MATERIAL DE SU INTERÈS, CUANDO EXPLORA LOS ACERVOS.  ",IDENTIFICA VARIOS EVENTOS DE SU VIDA COTIDIANA Y DICE EL ORDEN EN QUE OCURREN.
4636,"MUESTRA INTERÈS POR LA LECTURA DE CUENTOS QUE SE REALIZAN, COMPRENDE LAS HISTORIAS QUE SE LEEN Y COMENTA CUAL ES SU PARTE FAVORITA. ESCRIBE SU NOMBRE CON AYUDA DE PORTADORES DE TEXTO.",UTILIZA FIGURAS GEOMÈTRICAS PARA REPRODUCIR PATRONES Y SEGUIR UNA SECUENCIA. UBICA LUGARES A TRAVÈS DE RELACIONES ESPACIALES Y PUNTOS DE REFERENCIA.
4637,"DESCRIBE ALGUNOS PERSONAJES DE CUENTOS O HISTORIAS QUE ESCUCHA, ASÌ COMO ALGUNA OTRA DESCRIPCIÛN DEL CUENTO.  TRABAJA EN LA INTERPRETACIÛN DE RECADOS Y SEÒALAMIENTOS","TRABAJA CON COLECCIONES EN LAS CUALES LAS PUEDE COMPARAR DE DONDE HAY M·S, DONDE MENOS, LAS PUEDE IGUALAR O HACER CLASIFICACIONES DE ACUERDO CON LO QUE SE LE SOLICITA. "
4638,"LE AGRADA ESCUCHAR CUENTOS, LOGRA ESCRIBIR SU NOMBRE, SE COMUNICA CON FACILIDAD CON LAS DEM¡S PERSONAS Y PLATICA SOBRE LOS SUCESOS QUE LE AGRADAN  ","UTILIZA  N˙MEROS DE FORMA CONVENCIONAL PARA REPRESENTAR CANTIDADES CON DISTINTOS PROPÛSITOS Y EN DIVERSAS SITUACIONES. REGISTRA INFORMACIÛN EN GR·FICAS, COMPARA  EN DONDE HAY M·S MENOS O IGUAL"
4639,"EXPRESA SUS IDEAS GR·FICAMENTE Y LAS DA A CONOCER A LOS DEM·S A TRAVÈS DE VIDEOS Y/O MEDIOS DIGITALES. REALIZA DESCRIPCIONES CADA VEZ M·S DETALLADAS SOBRE OBJETOS O PERSONAS QUE OBSERVA. 
","LOGRA RESOLVER, INTERPRETAR Y COMPRENDER PROBLEMAS NUMÈRICOS CON EL APOYO DE OBJETOS, REGISTROS U ORALMENTE, MUESTRA DIFICULTAD PARA COMPARTIR LA ESTRATEGIA QUE UTILIZO PARA RESOLVERLO"
4640,"NARRA HISTORIAS QUE CONOCE CAMBIANDO EL ORDEN DE LOS SUCESOS, LO HACE DE MANERA FLUIDA. HABLA ACERCA DE LOS PERSONAJES Y SUS CARACTERÌSTICAS, DE LAS ACCIONES Y LOS LUGARES DONDE SE DESARROLLAN.
","LOGRA IDENTIFICAR FIGURAS GEOMÈTRICAS, LAS RELACIONA CON OBJETOS DE SU ENTORNO GUI·NDOSE POR SUS CARACTERÌSTICAS PROPIAS. IDENTIFICA  Y CONOCE EL USO DE LOS N˙MEROS EN SITUACIONES DE JUEGO. REALIZA EL CONTEO DE LOS PUNTOS EN LOS DADOS, LOGRA REALIZAR"
4641,"DISFRUTA DE LAS ACTIVIDADES EN LAS QUE TIENE QUE EXPRESAR VERBALMENTE CANCIONES, RIMAS Y CHISTES, LOGRA APRENDERSE UNA SECUENCIA DE PALABRAS CON LÛGICA, COMO LO ES UN TRABALENGUAS SENCILLO. RECONOCE SU NOMBRE EN DIFERENTES PORTADORES DE TEXTO.","REALIZA JUEGOS MATEM·TICOS QUE IMPLICAN MANTENER EL ORDEN DE FORMA ASCENDENTE LOS N˙MEROS DEL 1 AL 10, RECONOCE LOS N˙MEROS, IDENTIFICA ALGUNOS DE FORMA ESCRITA."
4642,"UTILIZA GRAFÌAS CONVENCIONALES TENIENDO UN ACERCAMIENTO A LA ESCRITURA, EXPLICA QUE DICE SU TEXTO, ESCRIBE SU PRIMER NOMBRE CON DIVERSOS PROPÛSITOS COMO MARCAR SUS PRODUCCIONES. SE EXPRESA ORALMENTE DE MANERA FLUIDA Y LÛGICA.","PUEDE DETERMINAR DONDE HAY M·S, MENOS O IGUAL AL COMPARAR 2 O M·S COLECCIONES UTILIZANDO DIVERSAS ESTRATEGIAS DE CONTEO. IDENTIFICA POR PERCEPCIÛN EL N˙MERO QUE FALTA EN UNA SERIE NUMÈRICA, YA SEA QUE ESTA EMPIECE DEL 1 O DESDE OTRO N˙MERO."
4643,"HACE USO DEL LENGUAJE ORAL PARA RELACIONARSE ,ESCUCHA A SUS COMPAÒEROS , COMPARTE E INTERCAMBIA  IDEAS Y  DESCRIBE CON SUS PROPIAS PALABRAS LO QUE OBSERVA .
LOGRA COMUNICAR  ADIVINANZAS.","LOGRA CREAR  Y REPRODUCIR MODELOS CON FORMAS Y FIGURAS GEOMÈTRICAS.
IDENTIFICA LA MONEDA $1 Y $2 SIMPLEMENTE POR SU N˙MERO, AUN SE LE DIFICULTA LA EQUIVALENCIA DEL $2."
4644,"REQUIERE APOYO PARA DESCRIBIR PERSONAJES, LUGARES QUE IMAGINA AL ESCUCHAR CUENTOS Y F¡BULAS, CUENTA HISTORIAS DE INVENCI”N PROPIA, EXPRESA SUS IDEAS ACERCA DE DIVERSOS TEMAS DE INTER…S Y ESCRIBE SU NOMBRE.","CON APOYO COMUNICA DE MANERA ORAL LOS NUMEROS DEL 1 AL 10, REPRODUCE FIGURAS GEOM…TRICAS, UBICA OBJETOS Y LUGARES SIGUIENDO PUNTOS DE REFERENCIA, IDENTIFICA EQUIVALENCIA ENTRE MONEDAS."
4645,"ESCUCHA CON ATENCIÛN LAS APORTACIONES DE SU FAMILIA Y COMPAÒEROS. 
PARA EXPRESAR SUS IDEAS LO HACE CUANDO SE LE CUESTIONA DE MANERA DIRECTA. COPIA ALGUNAS LETRAS DE SU NOMBRE, SE LE DIFICULTA DESCRIBIR CARACTERÌSTICAS DE ALGUNOS OBJETOS O SITUACIONES","CON APOYO, REALIZA CONTEO DE COLECCIONES, PONE EN PR·CTICA ALGUNOS PRINCIPIOS DE CONTEO. 
EN LA RESOLUCIÛN DE PROBLEMAS MUESTRA POCO INTERÈS Y DIFICULTAD PARA REALIZARLO.
"
4646,"CON AYUDA IDENTIFICA SU NOMBRE. ESCUCHA CON ATENCIÛN Y RECUERDA CUENTOS,  COMIENZA A EXPRESAR POR QUÈ LE GUSTA. RESPONDE PREGUNTAS QUE LO LLEVAN A EXPLICAR LAS RAZONES POR LAS QUE EST· EN ACUERDO O DESACUERDO CON ALGO. EXPRESA ALGUNAS IDEAS.",CLASIFICA COLECCIONES. COMPARA COLECCIONES POR PERCEPCIÛN Y LO REALIZA DE FORMA M·S F·CIL CUANDO VISUALMENTE LA DIFERENCIA ES NOTORIA. CON AYUDA IDENTIFICA LOS N˙MEROS DE 1 AL 5. CON AYUDA IDENTIFICA LAS FIGURAS GEOMÈTRICAS B·SICAS. 
4647,ENCUENTRA PALABRAS QUE RIMAN EN LAS RIMAS QUE ESCUCHA Y DICE RIMAS QUE CONSTRUYE SOLO. EXPRESA SU OPINIÛN RESPECTO A DIFERENTES SITUACIONES QUE OBSERVA EN VIDEO QUE LO LLEVAN A REFLEXIONAR. ,"HACE EL CONTEO DE DIFERENTES OBJETOS, OBSERVANDO QUE SU RANGO ES DEL 1 AL 20, TENIENDO ORDEN ESTABLE, CORRESPONDENCIA UNO A UNO Y CARDINALIDAD AL MOMENTO DE CONTAR. LOGRA REGISTRAR LA CANTIDAD DE ELEMENTOS QUE CUENTA, USANDO N˙MEROS CONVENCIONALES "
4648,"DICE TRABALENGUAS ESFORZ·NDOSE EN SUPERAR LAS DIFICULTADES QUE SE LE PRESENTAN.
PROPONERLE TRABALENGUAS CADA VEZ M·S COMPLEJOS Y OTROS JUEGOS DEL LENGUAJE.
","INTERPRETA LA INFORMACIÛN ORGANIZADA EN CUADROS Y GR·FICAS.
MOSTRARLE DIVERSAS FORMAS DE ORGANIZAR LA INFORMACIÛN, DISTINTAS A LAS QUE YA CONOCE. 
"
4649,"RECONOCE LAS VOCALES Y CONSONANTES, LOGRA ESCRIBIR PALABRAS GUI·NDOSE POR EL SONIDO DE LAS LETRAS. DESCRIBE CON RESPETO LAS CARACTERÌSTICAS DE LAS PERSONAS UTILIZANDO ADJETIVOS CALIFICATIVOS, ADECUADOS AL ASPECTO FÌSICO ","LLEVA A CABO Y DE MANERA ADECUADA ESTRATEGIAS DE CONTEO QUE PERMITEN SABER LA CANTIDAD DE ELEMENTOS EN COLECCIONES DE HASTA 30 ELEMENTOS , ES CAPAZ DE AGREGAR, QUITAR ,E IGUALAR ELEMENTOS. RECONOCE EL USO Y VALOR DE ALGUNAS MONEDAS  "
4650,"CON APOYO REALIZA PEQUEÒAS GRAFÌAS, E ESCRIBE SU NOMBRE. INVENTA HISTORIAS UTILIZANDO PERSONAJES. ","UTILIZA MATERIAL DIVERSO PARA REALIZAR EL CONTEO DE COLECCIONES PEQUEÒAS, CON APOYO ESCRIBE EL N˙MERO"
4651,"LOGRA INVENTAR Y NARRAR UN FINAL, TOMANDO EN CUENTA DE FORMA CORRECTA A LOS PERSONAJES Y LOS LUGARES QUE ESCUCHO. EXPRESA DE FORMA EFICAZ LAS IDEAS QUE LE INSPIRAN LAS IM·GENES Y DI·LOGO DEL TEXTO QUE ESCUCHA. ESCRIBE SU NOMBRE, IDENTIFICA LAS GRAFÌA","
IGUALA LAS CANTIDADES QUE SE LE SOLICITA DE FORMA CORRECTA. OBSERVA UNA IMAGEN PARA CALCULAR CU·NTOS ELEMENTOS DE CADA COLECCIÛN CABE EN CADA CUADRADO QUE SE MUESTRA Y ADIVINA SOLO LOS ELEMENTOS DE UNA COLECCIÛN. USA ALGUNAS EXPRESIONES TEMPORALES P"
4652,"SOLICITA LA PALABRA PARA PARTICIPAR Y ESCUCHA LAS IDEAS DE SUS COMPAÒEROS.
HA LOGRADO GRAN AVANCE EN EL PROCESO DE RECONOCER CARACTERÌSTICAS DE LAS PALABRAS Y CU·LES SON SUS LETRAS.
",RECONOCE Y REPRESENTA FIGURAS Y CUERPOS GEOMÈTRICOS DESDE DIFERENTES PERSPECTIVAS.
4653,"EXPRESA SU OPINIÛN ACERCA DE UN TEMA Y ESCUCHA OTRAS OPINIONES.  EXPLICA CÛMO ES, CÛMO OCURRIÛ, CÛMO FUNCIONA ALGO, SIN ORDEN EN LAS IDEAS.  ","RELACIONA EL N˙MERO DE ELEMENTOS DE UNA COLECCIÛN CON LA SUCESIÛN NUMÈRICA ESCRITA, DEL 1 AL 10. CONTESTA PREGUNTAS EN LAS QUE NECESITA RECABAR DATOS Y CLASIFICA SEG˙N ATRIBUTOS QUE IDENTIFICA. "
